CD_SETOR,CD_QUADRA,CD_FACE,NM_TIP_LOG,NM_TIT_LOG,NM_LOG,TOT_RES,TOT_GERAL
"352940105000022","001","005",AVENIDA,,ROSA KASINSKI,"0","5"
"352940105000022","001","006",AVENIDA,,JOAO RAMALHO,"25","32"
"352940105000022","002","001",RUA,,JOSE GARCIA SOBRINHO,"3","12"
"352940105000022","002","002",RUA,,BENEDITA MARIA DE JESUS,"3","3"
"352940105000022","002","003",RUA,,RITA LIMA DO VALE NOGUEIRA,"7","8"
"352940105000022","002","004",AVENIDA,,JOAO RAMALHO,"1","5"
"352940105000022","003","001",AVENIDA,,MANOEL DA NOBREGA,"0","6"
"352940105000022","003","002",AVENIDA,,ROSA KASINSKI,"2","4"
"352940105000022","003","003",RUA,,JOSE GARCIA SOBRINHO,"0","5"
"352940105000022","003","004",AVENIDA,,JOAO RAMALHO,"0","1"
"352940105000022","003","005",RUA,,ALEXANDRE GUSMAO,"0","0"
"352940105000022","003","006",RUA,,ALEXANDRE GUSMAO,"0","0"
"352940105000022","003","007",AVENIDA,,JOAO RAMALHO,"0","0"
"352940105000022","004","001",RUA,PRESIDENTE,AFONSO PENA,"22","23"
"352940105000022","004","002",RUA,PRESIDENTE,NILO PECANHA,"3","3"
"352940105000022","004","003",RUA,PRESIDENTE,NILO PECANHA,"2","2"
"352940105000022","004","004",RUA,PRESIDENTE,AFONSO PENA,"16","16"
"352940105000022","004","005",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"5","5"
"352940105000022","004","006",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"19","19"
"352940105000022","004","007",RUA,VICE,PRESIDENTE FRANCISCO DE ASSIS ROSA E SILVA,"6","7"
"352940105000022","004","008",RUA,,RITA LIMA DO VALE NOGUEIRA,"0","0"
"352940105000022","005","001",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"18","18"
"352940105000022","005","002",RUA,,JOAO BRANCALION,"5","7"
"352940105000022","005","003",AVENIDA,,JOAO RAMALHO,"18","21"
"352940105000022","005","004",RUA,VICE,PRESIDENTE FRANCISCO DE ASSIS ROSA E SILVA,"4","7"
"352940105000022","006","001",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"25","26"
"352940105000022","006","002",RUA,PRESIDENTE,ARTHUR DA COSTA E SILVA,"0","1"
"352940105000022","006","003",AVENIDA,,JOAO RAMALHO,"2","9"
"352940105000022","006","004",RUA,,JOAO BRANCALION,"0","1"
"352940105000022","007","001",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"9","10"
"352940105000022","007","002",RUA,,ANTONIO LORO,"2","4"
"352940105000022","007","003",AVENIDA,,JOAO RAMALHO,"1","4"
"352940105000022","007","004",RUA,PRESIDENTE,ARTHUR DA COSTA E SILVA,"1","2"
"352940105000022","008","001",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"4","12"
"352940105000022","008","002",RUA,MARECHAL,FLORIANO PEIXOTO,"12","19"
"352940105000022","008","003",AVENIDA,,JOAO RAMALHO,"0","7"
"352940105000022","008","004",RUA,,ANTONIO LORO,"0","2"
"352940105000022","009","001",RUA,CAPITAO,JOSE ANTONIO LAGAREIRO,"0","3"
"352940105000022","009","002",RUA,GENERAL,CASTILHO DE LIMA,"0","2"
"352940105000022","009","003",RUA,PRESIDENTE,AFONSO PENA,"0","3"
"352940105000022","009","004",RUA,MARECHAL,FLORIANO PEIXOTO,"0","1"
"352940105000022","010","001",RUA,GENERAL,CASTILHO DE LIMA,"3","6"
"352940105000022","010","002",RUA,CORONEL,MANUEL RABELO,"21","21"
"352940105000022","010","003",RUA,CORONEL,MANUEL RABELO,"0","0"
"352940105000022","010","004",RUA,,CARLOS DE CAMPOS,"9","11"
"352940105000022","010","005",RUA,,VALDEMAR CELESTINO DA SILVA,"0","0"
"352940105000022","010","006",RUA,,VALDEMAR CELESTINO DA SILVA,"5","6"
"352940105000022","010","007",AVENIDA,,JOAO RAMALHO,"0","0"
"352940105000022","011","001",AVENIDA,,MANOEL DA NOBREGA,"0","0"
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023",,,,,,,
"352940105000023","001","001",AVENIDA,,SANTA LUCIA,"0","3"
"352940105000023","001","002",AVENIDA,,ALBERTO SOARES SAMPAIO,"0","2"
"352940105000023","001","003",AVENIDA,,SANTA MONICA,"0","10"
"352940105000023","001","004",AVENIDA,,SANTA MONICA,"0","2"
"352940105000023","001","005",RUA,,OTTO LAZAR,"0","0"
"352940105000023","001","006",RUA,,OTTO LAZAR,"0","0"
"352940105000023","001","007",AVENIDA,,SANTA MONICA,"0","1"
"352940105000023","001","008",AVENIDA,,ALBERTO SOARES SAMPAIO,"0","4"
"352940105000023","001","009",ESTRADA,,DA SERVIDAO,"0","0"
"352940105000023","001","010",ESTRADA,,DA SERVIDAO,"0","0"
"352940105000023","001","011",AVENIDA,,ALBERTO SOARES SAMPAIO,"0","7"
"352940105000023","001","013",AVENIDA,,DAS INDUSTRIAS,"0","0"
"352940105000023","001","014",VIA,,SEM DENOMINACAO,"0","0"
"352940105000023","001","015",AVENIDA,,DAS INDUSTRIAS,"0","0"
"352940105000023","002","001",RUA,,GEORGE WILLIAM HAUCK,"31","39"
"352940105000023","002","002",AVENIDA,,DO ESTADO,"0","2"
"352940105000023","002","003",RUA,,JOSE PIETRO GARCIA,"0","9"
"352940105000023","002","004",AVENIDA,,COMENDADOR WOLTHRS,"0","3"
"352940105000023","002","005",RUA,,DELFINO RIBEIRO GUIMARAES,"8","16"
"352940105000023","002","006",RUA,,DELFINO RIBEIRO GUIMARAES,"28","36"
"352940105000023","002","007",AVENIDA,,COMENDADOR WOLTHRS,"0","4"
"352940105000023","003","001",AVENIDA,,COMENDADOR WOLTHRS,"0","3"
"352940105000023","003","002",RUA,,JOSE PIETRO GARCIA,"0","4"
"352940105000023","003","005",AVENIDA,,DO ESTADO,"0","0"
"352940105000023","003","006",RUA,,ANTONIA CLAUDIO DA SILVA,"0","2"
"352940105000023","004","001",AVENIDA,,DAS INDUSTRIAS,"0","0"
"352940105000023","004","002",AVENIDA,,ALBERTO SOARES SAMPAIO,"0","0"
"352940105000023","004","003",AVENIDA,,COMENDADOR WOLTHRS,"0","2"
"352940105000023","005","001",AVENIDA,,ALBERTO SOARES SAMPAIO,"0","0"
"352940105000023","005","002",AVENIDA,,MANUEL DA NOBREGA,"0","0"
"352940105000025",,,,,,,
"352940105000025",,,,,,,
"352940105000025",,,,,,,
"352940105000025","001","002",ESTRADA,,JACU PESSEGO,"0","0"
"352940105000025","001","003",AVENIDA,,AYRTON SENNA DA SILVA,"18","18"
"352940105000026","001","001",RUA,,VILHENA,"0","0"
"352940105000026","001","002",RUA,,ALTAMIRA,"0","0"
"352940105000026","001","003",AVENIDA,,OSCAR NIEMEYER,"0","0"
